 	i	P	        T						
	282	3.0125997E+00	1.3000000E+03						
	283	3.1403448E+00	1.3000000E+03						
	284	3.2735064E+00	1.3000000E+03						
	285	3.4123150E+00	1.3000000E+03						
	286	3.5570094E+00	1.3000000E+03						
	287	3.7078393E+00	1.3000000E+03						
	288	3.8650647E+00	1.3000000E+03						
	289	4.0289571E+00	1.3000000E+03						
	290	4.1997995E+00	1.3000000E+03						
	291	4.3778859E+00	1.3000000E+03						
	292	4.5635239E+00	1.3000000E+03						
	293	4.7570335E+00	1.3000000E+03						
	294	4.9587488E+00	1.3000000E+03						
	295	5.1690175E+00	1.3000000E+03						
	296	5.3881962E+00	1.3000000E+03						
	297	5.6166751E+00	1.3000000E+03						
	298	5.8548419E+00	1.3000000E+03						
	299	6.1031082E+00	1.3000000E+03						
	300	6.3619016E+00	1.3000000E+03						
	301	6.6316694E+00	1.3000000E+03						
	302	6.9128757E+00	1.3000000E+03						
	303	7.2060058E+00	1.3000000E+03						
	304	7.5115662E+00	1.3000000E+03						
	305	7.8300836E+00	1.3000000E+03						
	306	8.1621074E+00	1.3000000E+03						
	307	8.5082094E+00	1.3000000E+03						
	308	8.8689878E+00	1.3000000E+03						
	309	9.2450646E+00	1.3000000E+03						
	310	9.6370888E+00	1.3000000E+03						
	311	1.0045736E+01	1.3000000E+03						
	312	1.0471710E+01	1.3000000E+03						
	313	1.0915748E+01	1.3000000E+03						
	314	1.1378615E+01	1.3000000E+03						
	315	1.1861109E+01	1.3000000E+03						
	316	1.2364062E+01	1.3000000E+03						
	317	1.2888342E+01	1.3000000E+03						
	318	1.3434853E+01	1.3000000E+03						
	319	1.4004541E+01	1.3000000E+03						
	320	1.4598382E+01	1.3000000E+03						
	321	1.5217398E+01	1.3000000E+03						
	322	1.5862669E+01	1.3000000E+03						
	323	1.6535303E+01	1.3000000E+03						
	324	1.7236458E+01	1.3000000E+03						
	325	1.7967346E+01	1.3000000E+03						
	326	1.8729226E+01	1.3000000E+03						
	327	1.9523411E+01	1.3000000E+03						
	328	2.0351274E+01	1.3000000E+03						
	329	2.1214240E+01	1.3000000E+03						
	330	2.2113801E+01	1.3000000E+03						
	331	2.3051504E+01	1.3000000E+03						
	332	2.4028971E+01	1.3000000E+03						
	333	2.5047883E+01	1.3000000E+03						
	334	2.6110004E+01	1.3000000E+03						
	335	2.7217160E+01	1.3000000E+03						
	336	2.8371249E+01	1.3000000E+03						
	337	2.9574294E+01	1.3000000E+03						
	338	3.0828349E+01	1.3000000E+03						
	339	3.2135579E+01	1.3000000E+03						
	340	3.3498244E+01	1.3000000E+03						
	341	3.4918688E+01	1.3000000E+03						
	342	3.6399366E+01	1.3000000E+03						
	343	3.7942827E+01	1.3000000E+03						
	344	3.9551739E+01	1.3000000E+03						
	345	4.1228873E+01	1.3000000E+03						
	346	4.2977126E+01	1.3000000E+03						
	347	4.4799509E+01	1.3000000E+03						
	348	4.6699168E+01	1.3000000E+03						
	349	4.8679378E+01	1.3000000E+03						
	350	5.0743530E+01	1.3000000E+03						
	351	5.2895240E+01	1.3000000E+03						
	352	5.5138185E+01	1.3000000E+03						
	353	5.7476241E+01	1.3000000E+03						
	354	5.9913436E+01	1.3000000E+03						
	355	6.2453980E+01	1.3000000E+03						
	356	6.5102254E+01	1.3000000E+03						
	357	6.7862822E+01	1.3000000E+03						
	358	7.0740446E+01	1.3000000E+03						
	359	7.3740090E+01	1.3000000E+03						
	360	7.6866936E+01	1.3000000E+03						
	361	8.0126367E+01	1.3000000E+03						
	362	8.3524012E+01	1.3000000E+03						
	363	8.7065727E+01	1.3000000E+03						
	364	9.0757577E+01	1.3000000E+03						
	365	9.4606017E+01	1.3000000E+03						
	366	9.8617654E+01	1.3000000E+03						
	367	1.0279940E+02	1.3000000E+03						
	368	1.0715845E+02	1.3000000E+03						
	369	1.1170235E+02	1.3000000E+03						
	370	1.1643893E+02	1.3000000E+03						
	371	1.2137636E+02	1.3000000E+03						
	372	1.2652315E+02	1.3000000E+03						
	373	1.3188819E+02	1.3000000E+03						
	374	1.3748071E+02	1.3000000E+03						
	375	1.4331038E+02	1.3000000E+03						
	376	1.4938725E+02	1.3000000E+03						
	377	1.5572180E+02	1.3000000E+03						
	378	1.6232488E+02	1.3000000E+03						
	379	1.6920803E+02	1.3000000E+03						
	380	1.7638305E+02	1.3000000E+03						
	381	1.8386233E+02	1.3000000E+03						
	382	1.9165875E+02	1.3000000E+03						
	383	1.9978576E+02	1.3000000E+03						
	384	2.0825739E+02	1.3000000E+03						
	385	2.1708824E+02	1.3000000E+03						
	386	2.2629355E+02	1.3000000E+03						
	387	2.3588922E+02	1.3000000E+03						
	388	2.4589177E+02	1.3000000E+03						
	389	2.5631844E+02	1.3000000E+03						
	390	2.6718725E+02	1.3000000E+03						
	391	2.7851695E+02	1.3000000E+03						
	392	2.9032691E+02	1.3000000E+03						
	393	3.0263781E+02	1.3000000E+03						
	394	3.1547071E+02	1.3000000E+03						
	395	3.2884781E+02	1.3000000E+03						
	396	3.4279213E+02	1.3000000E+03						
	397	3.5732773E+02	1.3000000E+03						
	398	3.7247972E+02	1.3000000E+03						
	399	3.8827418E+02	1.3000000E+03						
	400	4.0473840E+02	1.3000000E+03						
	401	4.2190072E+02	1.3000000E+03						
	402	4.3979082E+02	1.3000000E+03						
	403	4.5843953E+02	1.3000000E+03						
	404	4.7787898E+02	1.3000000E+03						
	405	4.9814279E+02	1.3000000E+03						
	406	5.1926579E+02	1.3000000E+03						
	407	5.4128421E+02	1.3000000E+03						
	408	5.6423661E+02	1.3000000E+03						
	409	5.8816224E+02	1.3000000E+03						
	410	6.1310246E+02	1.3000000E+03						
	411	6.3910019E+02	1.3000000E+03						
	412	6.6620028E+02	1.3000000E+03						
	413	6.9444957E+02	1.3000000E+03						
	414	7.2389669E+02	1.3000000E+03						
	415	7.5459252E+02	1.3000000E+03						
	416	7.8658992E+02	1.3000000E+03						
	417	8.1994412E+02	1.3000000E+03						
	418	8.5471272E+02	1.3000000E+03						
	419	8.9095552E+02	1.3000000E+03						
	420	9.2873527E+02	1.3000000E+03						
	421	9.6811643E+02	1.3000000E+03						
	422	1.0091680E+03	1.3000000E+03						
	423	1.0519603E+03	1.3000000E+03						
	424	1.0965672E+03	1.3000000E+03						
	425	1.1430656E+03	1.3000000E+03						
	426	1.1915356E+03	1.3000000E+03						
	427	1.2420610E+03	1.3000000E+03						
	428	1.2947287E+03	1.3000000E+03						
	429	1.3496299E+03	1.3000000E+03						
	430	1.4068590E+03	1.3000000E+03						
	431	1.4665148E+03	1.3000000E+03						
	432	1.5287003E+03	1.3000000E+03						
	433	1.5935227E+03	1.3000000E+03						
	434	1.6610937E+03	1.3000000E+03						
	435	1.7315300E+03	1.3000000E+03						
	436	1.8049531E+03	1.3000000E+03						
	437	1.8814895E+03	1.3000000E+03						
	438	1.9612715E+03	1.3000000E+03						
	439	2.0444363E+03	1.3000000E+03						
	440	2.1311278E+03	1.3000000E+03						
	441	2.2214951E+03	1.3000000E+03						
	442	2.3156919E+03	1.3000000E+03						
	443	2.4138855E+03	1.3000000E+03						
	444	2.5162429E+03	1.3000000E+03						
	445	2.6229404E+03	1.3000000E+03						
	446	2.7341625E+03	1.3000000E+03						
	447	2.8501008E+03	1.3000000E+03						
	448	2.9709551E+03	1.3000000E+03						
	449	3.0969342E+03	1.3000000E+03						
	450	3.2282554E+03	1.3000000E+03						
	451	3.3651449E+03	1.3000000E+03						
	452	3.5078391E+03	1.3000000E+03						
	453	3.6565840E+03	1.3000000E+03						
	454	3.8116362E+03	1.3000000E+03						
	455	3.9732631E+03	1.3000000E+03						
	456	4.1417435E+03	1.3000000E+03						
	457	4.3173682E+03	1.3000000E+03						
	458	4.5004401E+03	1.3000000E+03						
	459	4.6912748E+03	1.3000000E+03						
	460	4.8902016E+03	1.3000000E+03						
	461	5.0975636E+03	1.3000000E+03						
	462	5.3137183E+03	1.3000000E+03						
	463	5.5390391E+03	1.3000000E+03						
	464	5.7739142E+03	1.3000000E+03						
	465	6.0187485E+03	1.3000000E+03						
	466	6.2739648E+03	1.3000000E+03						
	467	6.5400034E+03	1.3000000E+03						
	468	6.8173230E+03	1.3000000E+03						
	469	7.1064018E+03	1.3000000E+03						
	470	7.4077383E+03	1.3000000E+03						
	471	7.7218443E+03	1.3000000E+03						
	472	8.0492787E+03	1.3000000E+03						
	473	8.3905965E+03	1.3000000E+03						
	474	8.7463878E+03	1.3000000E+03						
	475	9.1172658E+03	1.3000000E+03						
	476	9.5038705E+03	1.3000000E+03						
	477	9.9068686E+03	1.3000000E+03						
	478	1.0326955E+04	1.3000000E+03						
	479	1.0764854E+04	1.3000000E+03						
	480	1.1221323E+04	1.3000000E+03						
	481	1.1697147E+04	1.3000000E+03						
	482	1.2193148E+04	1.3000000E+03						
	483	1.2710181E+04	1.3000000E+03						
	484	1.3249138E+04	1.3000000E+03						
	485	1.3810949E+04	1.3000000E+03						
	486	1.4396583E+04	1.3000000E+03						
	487	1.5007049E+04	1.3000000E+03						
	488	1.5643400E+04	1.3000000E+03						
	489	1.6306737E+04	1.3000000E+03						
	490	1.6998200E+04	1.3000000E+03						
	491	1.7718984E+04	1.3000000E+03						
	492	1.8470334E+04	1.3000000E+03						
	493	1.9253542E+04	1.3000000E+03						
	494	2.0069960E+04	1.3000000E+03						
	495	2.0920998E+04	1.3000000E+03						
	496	2.1808122E+04	1.3000000E+03						
	497	2.2732864E+04	1.3000000E+03						
	498	2.3696819E+04	1.3000000E+03						
	499	2.4701622E+04	1.3000000E+03						
	500	2.5749058E+04	1.3000000E+03						
	501	2.6840910E+04	1.3000000E+03						
	502	2.7979061E+04	1.3000000E+03						
	503	2.9165474E+04	1.3000000E+03						
	504	3.0402192E+04	1.3000000E+03						
	505	3.1691355E+04	1.3000000E+03						
	506	3.3035180E+04	1.3000000E+03						
	507	3.4435990E+04	1.3000000E+03						
	508	3.5896200E+04	1.3000000E+03						
	509	3.7418327E+04	1.3000000E+03						
	510	3.9004996E+04	1.3000000E+03						
	511	4.0658948E+04	1.3000000E+03						
	512	4.2383033E+04	1.3000000E+03						
	513	4.4180223E+04	1.3000000E+03						
	514	4.6053621E+04	1.3000000E+03						
	515	4.8006460E+04	1.3000000E+03						
	516	5.0042105E+04	1.3000000E+03						
	517	5.2164072E+04	1.3000000E+03						
	518	5.4376012E+04	1.3000000E+03						
	519	5.6681746E+04	1.3000000E+03						
	520	5.9085256E+04	1.3000000E+03						
	521	6.1590683E+04	1.3000000E+03						
	522	6.4202344E+04	1.3000000E+03						
	523	6.6924757E+04	1.3000000E+03						
	524	6.9762605E+04	1.3000000E+03						
	525	7.2720790E+04	1.3000000E+03						
	526	7.5804406E+04	1.3000000E+03						
	527	7.9018784E+04	1.3000000E+03						
	528	8.2369375E+04	1.3000000E+03						
	529	8.5862130E+04	1.3000000E+03						
	530	8.9502990E+04	1.3000000E+03						
	531	9.3298233E+04	1.3000000E+03						
	532	9.7254413E+04	1.3000000E+03						
	533	1.0137835E+05	1.3000000E+03						
